title,description,servings,total_time_iso,ingredients,steps,tags
Palatschinken,"Dünne Eierkuchen/Crêpes aus der Pfanne. TM-Hinweis: Teig 20 Sek./Stufe 5, 30 Min. ruhen lassen.",4 Personen,PT25M,250 g Mehl|3 Eier (Größe M)|500 ml Milch|1 Prise Salz|1 EL Zucker (optional)|1 EL Butter (für die Pfanne),"Mehl (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Eier (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Milch (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Salz (und Zucker) zu einem glatten Teig verrühren (im TM: 30 Sek./Stufe 4 mischen, dann 2 Min./Knetstufe).|30 Minuten ruhen lassen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|In einer beschichteten Pfanne dünn ausbacken (im TM: Hinweis: Backofen extern nutzen; TM für Saucen/Beilagen verwenden).|zwischendurch leicht buttern. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Nach Wunsch süß füllen (z. B. Marmelade) oder herzhaft. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","suess-herzhaft,pfannkuchen"
Kaiserschmarren,"Locker-leichter, zerrupfter Pfannkuchen mit Rosinen. TM-Hinweis: Teig 20 Sek./Stufe 4; Eischnee separat oder mit Schmetterling schlagen.",4 Personen,PT30M,"4 Eier|250 ml Milch|150 g Mehl|40 g Zucker|1 Päckchen Vanillezucker|40 g Rosinen (optional, in Rum eingeweicht)|30 g Butter|Puderzucker zum Bestäuben|Prise Salz","Eigelbe mit Milch (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Mehl (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Zucker (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Vanillezucker und Salz zu Teig rühren. (im TM: 30 Sek./Stufe 4 mischen, dann 2 Min./Knetstufe).|Eiweiße steif schlagen und unterheben (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Rosinen zugeben. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Butter in großer Pfanne schmelzen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Teig hineingeben (im TM: 30 Sek./Stufe 4 mischen, dann 2 Min./Knetstufe).|stocken lassen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|wenden. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|In Stücke reißen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|fertig backen (im TM: Hinweis: Backofen extern nutzen; TM für Saucen/Beilagen verwenden).|mit Puderzucker bestäuben. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","dessert,alpenkueche"
Burrito Bowl,"Reis-Bowl mit Bohnen, Mais, Avocado, Hähnchen oder vegetarisch. TM-Hinweis: Reis im Garkorb/Varoma garen, Salsa im Mixtopf zerkleinern.",4 Personen,PT35M,300 g Langkornreis|400 g Hähnchenbrust (oder Tofu)|1 Dose schwarze Bohnen (abgetropft)|1 Dose Mais (abgetropft)|1 Avocado|1 rote Paprika|1 kleine rote Zwiebel|1 Limette|2 EL Öl|1 TL Paprika edelsüß|1 TL Kreuzkümmel|Salz|Pfeffer|Koriander oder Petersilie,"Reis nach Packungsangabe garen. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Hähnchen würfeln (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|mit Öl (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Paprika (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Kreuzkümmel (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Salz (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Pfeffer anbraten (oder Tofu). (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Paprika und Zwiebel würfeln (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Bohnen und Mais abspülen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Avocado würfeln (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|mit Limettensaft beträufeln. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Bowl zusammenstellen: Reis (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Bohnen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Mais (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Hähnchen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Gemüse (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|mit Kräutern toppen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","bowl,familiengericht"
Poké Bowl,"Reis-Bowl hawaiianischer Art mit mariniertem Lachs/Thunfisch oder vegan. TM-Hinweis: Reis im Garkorb, Marinade 5 Sek./Stufe 5 mischen.",4 Personen,PT35M,300 g Sushi-Reis|400 ml Wasser|2 EL Reisessig|1 TL Zucker|1 TL Salz|250 g Lachs in Sushi-Qualität (oder Räuchertofu)|2 EL Sojasoße|1 EL Sesamöl|1 TL Honig oder Agavendicksaft|1 Gurke|1 Möhre|1 Avocado|Sesam zum Bestreuen|Frühlingszwiebeln,"Sushi-Reis waschen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|garen (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|mit Reisessig-Zucker-Salz mischen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Lachs würfeln und mit Sojasoße (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Sesamöl (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Honig marinieren (oder Tofu). (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Gemüse in Scheiben/Stifte schneiden. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Reis in Schalen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Toppings anrichten (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|mit Sesam und Frühlingszwiebeln bestreuen. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).","bowl,sushi-style"
Lasagne,Klassische Lasagne mit Bolognese und Béchamelsauce. TM-Hinweis: Bolo und Béchamel jeweils im Mixtopf kochen; Schichten im Ofen.,4 Personen,PT1H0M,12 Lasagneblätter|500 g Rinderhack|1 Zwiebel|2 Knoblauchzehen|1 Karotte|1 Dose Tomaten (400 g)|2 EL Tomatenmark|200 ml Brühe|2 EL Öl|Salz|Pfeffer|Oregano|Béchamel: 50 g Butter|50 g Mehl|500 ml Milch|Muskat|150 g geriebener Käse,"Bolognese: Zwiebel (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Knoblauch (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Karotte würfeln (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|in Öl anschwitzen (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|Hack anbraten (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Tomatenmark (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Tomaten (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Brühe (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Gewürze hinzufügen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|20 Min köcheln. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Béchamel: Butter schmelzen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Mehl anschwitzen (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|Milch einrühren (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|mit Muskat würzen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|In Auflaufform schichten: Bolo (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Lasagneblätter (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Béchamel (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|wiederholen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|mit Käse abschließen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Bei 180–200°C ca. 35–40 Minuten backen. (im TM: Hinweis: Backofen extern nutzen; TM für Saucen/Beilagen verwenden).","auflauf,klassiker"
Spitzkohl-Hackfleischpfanne,"Schnelle Pfanne mit Spitzkohl und Hack. TM-Hinweis: Kohl im Mixtopf 4–5 Sek./Stufe 4 zerkleinern, Hack separat anbraten.",4 Personen,PT25M,500 g Rinderhack|1 kleiner Spitzkohl|1 Zwiebel|2 Knoblauchzehen|2 EL Öl|100 ml Brühe|1 TL Paprika edelsüß|Salz|Pfeffer|Petersilie,"Hack in Pfanne krümelig braten. (im TM: Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Zwiebel und Knoblauch würfeln (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|zugeben (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|anschwitzen. (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|Spitzkohl in Streifen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|mitbraten. (im TM: Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Mit Brühe ablöschen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|würzen und 10 Minuten garen. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Mit Petersilie servieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","pfannengericht,lowcarb"
Omas Möhreneintopf,Klassischer Karotten-Kartoffel-Eintopf. TM-Hinweis: Gemüse 5 Sek./Stufe 5; dann 25 Min./100°C/Rührstufe mit Brühe garen.,4 Personen,PT40M,600 g Möhren|400 g Kartoffeln|1 Stange Lauch|1 Zwiebel|1|2 l Gemüsebrühe|2 EL Butter oder Öl|Salz|Pfeffer|Petersilie,"Gemüse putzen und würfeln. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Zwiebel anschwitzen (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|restliches Gemüse kurz mitdünsten. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Mit Brühe aufgießen und 20–25 Minuten köcheln lassen. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Mit Salz (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Pfeffer abschmecken (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|mit Petersilie bestreuen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","eintopf,familienklassiker"
Pad Thai,"Reisnudeln mit Ei, Tofu/Huhn, Sprossen, Erdnüssen. TM-Hinweis: Sauce 5 Sek./Stufe 5 mischen; Nudeln separat.",4 Personen,PT30M,300 g Reisnudeln (breit)|300 g Hähnchenbrust oder Tofu|2 Eier|2 Frühlingszwiebeln|2 Knoblauchzehen|100 g Mungobohnensprossen|50 g Erdnüsse|geröstet|2 EL Fischsauce oder Sojasoße|2 EL Tamarindenpaste (oder Limettensaft)|1 EL Zucker|2 EL Öl|Limettenspalten|Chiliflocken|Koriander,"Reisnudeln nach Packung einweichen/kochen. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Hähnchen/Tofu würfeln (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|in Öl anbraten (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|herausnehmen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Knoblauch und Frühlingszwiebeln anbraten (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Eier stocken lassen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Nudeln (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Sauce (Fischsauce/Soja, Tamarinde/Limette, Zucker) (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Sprossen und Fleisch/Tofu zugeben (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|kurz braten. (im TM: Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Mit Erdnüssen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Koriander (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Limette servieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","asia,pfannengericht"
Kartoffelgulasch,"Deftiger Eintopf mit Kartoffeln, Paprika und Würstchen optional. TM-Hinweis: Zwiebeln/Paprika 5 Sek./Stufe 5, 25–30 Min./100°C garen.",4 Personen,PT45M,800 g Kartoffeln|2 Zwiebeln|1 rote Paprika|1 gelbe Paprika|2 EL Tomatenmark|1 TL Paprika edelsüß|1 l Gemüsebrühe|2 EL Öl|Salz|Pfeffer|4 Wiener Würstchen (optional),"Zwiebeln würfeln und in Öl anschwitzen. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|Paprika in Stücke (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Kartoffeln würfeln (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|kurz mitrösten. (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|Tomatenmark und Paprikapulver zugeben (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|mit Brühe aufgießen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|20–25 Minuten köcheln lassen (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|evtl. Würstchen in Scheiben zugeben. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Mit Salz und Pfeffer abschmecken. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","eintopf,budget"
Frikadellen mit Kartoffelbrei und Soße,"Klassiker: saftige Buletten, cremiges Püree, schnelle Bratensoße. TM-Hinweis: Püree im Mixtopf (Kartoffeln garen, dann Milch/Butter untermixen).",4 Personen,PT50M,500 g gemischtes Hackfleisch|1 altbackenes Brötchen (eingeweicht) oder 2 EL Semmelbrösel|1 Ei|1 Zwiebel|1 TL Senf|Salz|Pfeffer|Paprika|Öl zum Braten|Kartoffelbrei: 1 kg Kartoffeln|200 ml Milch|40 g Butter|Salz|Muskat|Soße: 250 ml Bratenfond oder Brühe|1 EL Mehl|1 EL Butter,"Hack mit eingeweichtem Brötchen/Bröseln (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Ei (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|gehackter Zwiebel (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Senf und Gewürzen mischen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Frikadellen formen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|In Öl beidseitig braten. (im TM: Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Kartoffeln weich kochen (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Milch/Butter zugeben und stampfen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|würzen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Für die Soße Bratensatz mit Fond ablöschen (im TM: Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|mit Mehlschwitze binden (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|abschmecken. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","klassiker,familienessen"
Nudelpilzpfanne,"Schnelle Pasta-Pfanne mit Pilzen und Kräutern. TM-Hinweis: Pilze 4 Sek./Stufe 4, Sauce 8–10 Min./100°C; Nudeln separat.",4 Personen,PT25M,400 g kurze Pasta|300 g Pilze|1 Zwiebel|2 Knoblauchzehen|200 ml Sahne|100 ml Gemüsebrühe|2 EL Öl|Petersilie|Salz|Pfeffer,"Pasta in Salzwasser kochen. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Zwiebel/Knoblauch anschwitzen (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|Pilze zugeben und braten. (im TM: Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Sahne und Brühe angießen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|5 Minuten einkochen (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|würzen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Pasta unterheben (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|mit Petersilie servieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","pasta,vegetarisch"
Rinderbraten mit Rotkohl und Knödel,Sonntagsklassiker. TM-Hinweis: Rotkohl im Mixtopf garen; Knödel separat; Bratensoße im Mixtopf ziehen.,4 Personen,PT3H0M,1|2 kg Rinderbraten|2 Zwiebeln|2 Möhren|1 Stück Sellerie|2 EL Tomatenmark|500 ml Rinderfond|200 ml Rotwein (optional)|2 EL Öl|Salz|Pfeffer|Lorbeer|Rotkohl (Fertig oder 1 Kopf + Apfel)|Kartoffel|oder Semmelknödel (Fertig oder Teig),"Braten salzen/pfeffern (im TM: Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|in Öl scharf anbraten (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|herausnehmen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Zwiebeln (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Möhren (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Sellerie anrösten (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|Tomatenmark zugeben (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|mit Fond/Rotwein ablöschen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Braten zurück (im TM: Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|zugedeckt 2–2 (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|5 h schmoren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Rotkohl separat garen (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Knödel kochen. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Bratensoße passieren und abschmecken (im TM: Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|alles servieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","festlich,klassiker"
Pilmeni-Pierogi-Rindfleisch-Pfanne,"Pfanne mit russischen/osteuropäischen Teigtaschen (Pilmeni/Pierogi) und Rindfleisch-Zwiebel-Mix. TM-Hinweis: Zwiebeln 5 Sek./Stufe 5, Pfanne zum Braten.",4 Personen,PT25M,600 g Pelmeni oder Pierogi (TK)|300 g Rindfleischstreifen|2 Zwiebeln|2 EL Butter oder Öl|200 g Schmand|Salz|Pfeffer|Dill,"Pelmeni/Pierogi nach Packung garen. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Zwiebeln in Butter/Öl braten (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Rindfleisch zugeben (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|kurz scharf anbraten. (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Pelmeni/Pierogi untermischen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|mit Schmand (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Salz (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Pfeffer und Dill abschmecken. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","pfannengericht,komfort"
