slug,title,description,servings,total_time_iso,ingredients_pipe_separated,steps_pipe_separated,tags_comma_separated
cevapcici-mit-selbstgemachtem-zaziki,Cevapcici mit selbstgemachtem Zaziki,"Würzige Hackröllchen mit Knoblauch-Joghurt-Dip. TM-Hinweis: Zaziki im Mixtopf rühren, Hackmasse kurz mischen.",4 Personen,PT35M,,,
jause-brotzeitplatte,Jause (Brotzeitplatte),"Österreichische Brotzeit mit Brot, Aufschnitt, Käse, Essiggurke. TM-Hinweis: Aufstriche im Mixtopf zubereiten.",4 Personen,PT10M,,,
grunkohl-und-pinkel,Grünkohl und Pinkel,"Norddeutscher Klassiker mit Grünkohl, Pinkelwurst, Kassler. TM-Hinweis: Grünkohl im Mixtopf garen; Fleisch separat.",4 Personen,PT1H30M,,,
blunzengrostl,Blunzengröstl,"Tiroler Gröstl-Variante mit Blutwurst. TM-Hinweis: Kartoffeln im Mixtopf garen, dann Pfanne fürs Knusprige.",4 Personen,PT30M,,,
essigwurst,Essigwurst,Kaltes Gericht: Wurstsalat in Essig-Öl-Marinade mit Zwiebel. TM-Hinweis: Marinade 5 Sek./Stufe 4 mischen.,4 Personen,PT15M,,,
kurbissuppe,Kürbissuppe,"Cremige Suppe aus Hokkaido mit Kokos oder Sahne. TM-Hinweis: Alles im Mixtopf 20–25 Min./100°C garen, pürieren.",4 Personen,PT35M,,,
griechischer-salat,Griechischer Salat,"Tomaten-Gurken-Feta-Salat mit Oliven und Oregano. TM-Hinweis: Dressing 5 Sek./Stufe 4 mischen, Gemüse groß lassen.",4 Personen,PT15M,,,
gabis-mediterraner-nudelsalat,Gabis mediterraner Nudelsalat,"Pasta-Salat mit getrockneten Tomaten, Oliven, Feta. TM-Hinweis: Dressing im Mixtopf rühren.",4 Personen,PT25M,,,
hot-dogs,Hot Dogs,"Schnelle Hot Dogs mit Würstchen, Brötchen, Gurken, Röstzwiebeln. TM-Hinweis: Relish/kleine Saucen im Mixtopf.",4 Personen,PT10M,,,
thai-rote-curry-suppe,Thai Rote Curry Suppe,"Würzige Suppe mit Kokosmilch, roter Currypaste, Gemüse und Hähnchen/Tofu. TM-Hinweis: Alles im Mixtopf 15–20 Min./100°C garen.",4 Personen,PT30M,,,
lahmacun,Lahmacun,"Türkische Fladen mit würziger Hackbelag, frisch gerollt mit Salat. TM-Hinweis: Teig 2 Min./Knetstufe; Belag im Mixtopf zerkleinern.",4 Personen,PT1H20M,,,
fisch-mit-brokkoli-aus-dem-ofen,Fisch mit Brokkoli aus dem Ofen,Einfaches Blechgericht: Fischfilets und Brokkoli mit Zitrone. TM-Hinweis: Beilage (Kartoffeln) im Varoma möglich.,4 Personen,PT25M,,,
salat-mit-feta-und-bacon,Salat mit Feta und Bacon,Körniger Salatmix mit knusprigem Speck und Feta. TM-Hinweis: Dressing 5 Sek./Stufe 4.,4 Personen,PT15M,,,
shepherd-s-pie,Shepherd’s Pie,Britischer Auflauf mit Hack und Erbsen unter Kartoffelpüree. TM-Hinweis: Püree im Mixtopf; Hackpfanne separat.,4 Personen,PT1H0M,,,
feta-nudeln,Feta-Nudeln,"Ofengericht: Feta mit Tomaten backen, mit Pasta vermengen. TM-Hinweis: Pasta kochen; Sauce im Ofen.",4 Personen,PT30M,,,
bibimbap,Bibimbap,"Koreanische Reis-Schüssel mit Gemüse, Ei und optional Rind. TM-Hinweis: Reis im Garkorb; Gochujang-Sauce 5 Sek./Stufe 5.",4 Personen,PT40M,,,
kichererbsen-curry,Kichererbsen-Curry,Veganes Curry mit Kichererbsen und Tomate-Kokos. TM-Hinweis: Alles im Mixtopf 15–20 Min./100°C garen.,4 Personen,PT30M,,,
