slug,title,description,servings,total_time_iso,ingredients_pipe_separated,steps_pipe_separated,tags_comma_separated
palatschinken,Palatschinken,"Dünne Eierkuchen/Crêpes aus der Pfanne. TM-Hinweis: Teig 20 Sek./Stufe 5, 30 Min. ruhen lassen.",4 Portionen,PT25M,250 g Mehl|3 Eier (Größe M)|500 ml Milch|1 Prise Salz|1 EL Zucker (optional)|1 EL Butter (für die Pfanne),"Mehl, Eier, Milch, Salz (und Zucker) zu einem glatten Teig verrühren, 30 Minuten ruhen lassen.|In einer beschichteten Pfanne dünn ausbacken, zwischendurch leicht buttern.|Nach Wunsch süß füllen (z. B. Marmelade) oder herzhaft.","suess-herzhaft,pfannkuchen"
kaiserschmarren,Kaiserschmarren,"Locker-leichter, zerrupfter Pfannkuchen mit Rosinen. TM-Hinweis: Teig 20 Sek./Stufe 4; Eischnee separat oder mit Schmetterling schlagen.",4 Portionen,PT30M,"4 Eier|250 ml Milch|150 g Mehl|40 g Zucker|1 Päckchen Vanillezucker|40 g Rosinen (optional, in Rum eingeweicht)|30 g Butter|Puderzucker zum Bestäuben|Prise Salz","Eigelbe mit Milch, Mehl, Zucker, Vanillezucker und Salz zu Teig rühren.|Eiweiße steif schlagen und unterheben, Rosinen zugeben.|Butter in großer Pfanne schmelzen, Teig hineingeben, stocken lassen, wenden.|In Stücke reißen, fertig backen, mit Puderzucker bestäuben.","dessert,alpenkueche"
burrito-bowl,Burrito Bowl,"Reis-Bowl mit Bohnen, Mais, Avocado, Hähnchen oder vegetarisch. TM-Hinweis: Reis im Garkorb/Varoma garen, Salsa im Mixtopf zerkleinern.",4 Portionen,PT35M,300 g Langkornreis|400 g Hähnchenbrust (oder Tofu)|1 Dose schwarze Bohnen (abgetropft)|1 Dose Mais (abgetropft)|1 Avocado|1 rote Paprika|1 kleine rote Zwiebel|1 Limette|2 EL Öl|1 TL Paprika edelsüß|1 TL Kreuzkümmel|Salz|Pfeffer|Koriander oder Petersilie,"Reis nach Packungsangabe garen.|Hähnchen würfeln, mit Öl, Paprika, Kreuzkümmel, Salz, Pfeffer anbraten (oder Tofu).|Paprika und Zwiebel würfeln; Bohnen und Mais abspülen.|Avocado würfeln, mit Limettensaft beträufeln.|Bowl zusammenstellen: Reis, Bohnen, Mais, Hähnchen, Gemüse; mit Kräutern toppen.","bowl,familiengericht"
poke-bowl,Poké Bowl,"Reis-Bowl hawaiianischer Art mit mariniertem Lachs/Thunfisch oder vegan. TM-Hinweis: Reis im Garkorb, Marinade 5 Sek./Stufe 5 mischen.",4 Portionen,PT35M,300 g Sushi-Reis|400 ml Wasser|2 EL Reisessig|1 TL Zucker|1 TL Salz|250 g Lachs in Sushi-Qualität (oder Räuchertofu)|2 EL Sojasoße|1 EL Sesamöl|1 TL Honig oder Agavendicksaft|1 Gurke|1 Möhre|1 Avocado|Sesam zum Bestreuen|Frühlingszwiebeln,"Sushi-Reis waschen, garen, mit Reisessig-Zucker-Salz mischen.|Lachs würfeln und mit Sojasoße, Sesamöl, Honig marinieren (oder Tofu).|Gemüse in Scheiben/Stifte schneiden.|Reis in Schalen, Toppings anrichten, mit Sesam und Frühlingszwiebeln bestreuen.","bowl,sushi-style"
lasagne,Lasagne,Klassische Lasagne mit Bolognese und Béchamelsauce. TM-Hinweis: Bolo und Béchamel jeweils im Mixtopf kochen; Schichten im Ofen.,4 Portionen,PT1H,"12 Lasagneblätter|500 g Rinderhack|1 Zwiebel|2 Knoblauchzehen|1 Karotte|1 Dose Tomaten (400 g)|2 EL Tomatenmark|200 ml Brühe|2 EL Öl|Salz, Pfeffer, Oregano|Béchamel: 50 g Butter, 50 g Mehl, 500 ml Milch, Muskat|150 g geriebener Käse","Bolognese: Zwiebel, Knoblauch, Karotte würfeln, in Öl anschwitzen, Hack anbraten, Tomatenmark, Tomaten, Brühe, Gewürze hinzufügen, 20 Min köcheln.|Béchamel: Butter schmelzen, Mehl anschwitzen, Milch einrühren, mit Muskat würzen.|In Auflaufform schichten: Bolo, Lasagneblätter, Béchamel, wiederholen; mit Käse abschließen.|Bei 180–200°C ca. 35–40 Minuten backen.","auflauf,klassiker"
spitzkohl-hackfleischpfanne,Spitzkohl-Hackfleischpfanne,"Schnelle Pfanne mit Spitzkohl und Hack. TM-Hinweis: Kohl im Mixtopf 4–5 Sek./Stufe 4 zerkleinern, Hack separat anbraten.",4 Portionen,PT25M,500 g Rinderhack|1 kleiner Spitzkohl|1 Zwiebel|2 Knoblauchzehen|2 EL Öl|100 ml Brühe|1 TL Paprika edelsüß|Salz|Pfeffer|Petersilie,"Hack in Pfanne krümelig braten.|Zwiebel und Knoblauch würfeln, zugeben, anschwitzen.|Spitzkohl in Streifen, mitbraten.|Mit Brühe ablöschen, würzen und 10 Minuten garen.|Mit Petersilie servieren.","pfannengericht,lowcarb"
omas-mohreneintopf,Omas Möhreneintopf,Klassischer Karotten-Kartoffel-Eintopf. TM-Hinweis: Gemüse 5 Sek./Stufe 5; dann 25 Min./100°C/Rührstufe mit Brühe garen.,4 Portionen,PT40M,"600 g Möhren|400 g Kartoffeln|1 Stange Lauch|1 Zwiebel|1,2 l Gemüsebrühe|2 EL Butter oder Öl|Salz|Pfeffer|Petersilie","Gemüse putzen und würfeln.|Zwiebel anschwitzen, restliches Gemüse kurz mitdünsten.|Mit Brühe aufgießen und 20–25 Minuten köcheln lassen.|Mit Salz, Pfeffer abschmecken, mit Petersilie bestreuen.","eintopf,familienklassiker"
pad-thai,Pad Thai,"Reisnudeln mit Ei, Tofu/Huhn, Sprossen, Erdnüssen. TM-Hinweis: Sauce 5 Sek./Stufe 5 mischen; Nudeln separat.",4 Portionen,PT30M,"300 g Reisnudeln (breit)|300 g Hähnchenbrust oder Tofu|2 Eier|2 Frühlingszwiebeln|2 Knoblauchzehen|100 g Mungobohnensprossen|50 g Erdnüsse, geröstet|2 EL Fischsauce oder Sojasoße|2 EL Tamarindenpaste (oder Limettensaft)|1 EL Zucker|2 EL Öl|Limettenspalten|Chiliflocken|Koriander","Reisnudeln nach Packung einweichen/kochen.|Hähnchen/Tofu würfeln, in Öl anbraten, herausnehmen.|Knoblauch und Frühlingszwiebeln anbraten, Eier stocken lassen.|Nudeln, Sauce (Fischsauce/Soja, Tamarinde/Limette, Zucker), Sprossen und Fleisch/Tofu zugeben, kurz braten.|Mit Erdnüssen, Koriander, Limette servieren.","asia,pfannengericht"
kartoffelgulasch,Kartoffelgulasch,"Deftiger Eintopf mit Kartoffeln, Paprika und Würstchen optional. TM-Hinweis: Zwiebeln/Paprika 5 Sek./Stufe 5, 25–30 Min./100°C garen.",4 Portionen,PT45M,800 g Kartoffeln|2 Zwiebeln|1 rote Paprika|1 gelbe Paprika|2 EL Tomatenmark|1 TL Paprika edelsüß|1 l Gemüsebrühe|2 EL Öl|Salz|Pfeffer|4 Wiener Würstchen (optional),"Zwiebeln würfeln und in Öl anschwitzen.|Paprika in Stücke, Kartoffeln würfeln, kurz mitrösten.|Tomatenmark und Paprikapulver zugeben, mit Brühe aufgießen.|20–25 Minuten köcheln lassen, evtl. Würstchen in Scheiben zugeben.|Mit Salz und Pfeffer abschmecken.","eintopf,budget"
frikadellen-mit-kartoffelbrei-und-sosse,Frikadellen mit Kartoffelbrei und Soße,"Klassiker: saftige Buletten, cremiges Püree, schnelle Bratensoße. TM-Hinweis: Püree im Mixtopf (Kartoffeln garen, dann Milch/Butter untermixen).",4 Portionen,PT50M,"500 g gemischtes Hackfleisch|1 altbackenes Brötchen (eingeweicht) oder 2 EL Semmelbrösel|1 Ei|1 Zwiebel|1 TL Senf|Salz, Pfeffer, Paprika|Öl zum Braten|Kartoffelbrei: 1 kg Kartoffeln, 200 ml Milch, 40 g Butter, Salz, Muskat|Soße: 250 ml Bratenfond oder Brühe, 1 EL Mehl, 1 EL Butter","Hack mit eingeweichtem Brötchen/Bröseln, Ei, gehackter Zwiebel, Senf und Gewürzen mischen; Frikadellen formen.|In Öl beidseitig braten.|Kartoffeln weich kochen; Milch/Butter zugeben und stampfen, würzen.|Für die Soße Bratensatz mit Fond ablöschen, mit Mehlschwitze binden, abschmecken.","klassiker,familienessen"
nudelpilzpfanne,Nudelpilzpfanne,"Schnelle Pasta-Pfanne mit Pilzen und Kräutern. TM-Hinweis: Pilze 4 Sek./Stufe 4, Sauce 8–10 Min./100°C; Nudeln separat.",4 Portionen,PT25M,400 g kurze Pasta|300 g Pilze|1 Zwiebel|2 Knoblauchzehen|200 ml Sahne|100 ml Gemüsebrühe|2 EL Öl|Petersilie|Salz|Pfeffer,"Pasta in Salzwasser kochen.|Zwiebel/Knoblauch anschwitzen, Pilze zugeben und braten.|Sahne und Brühe angießen, 5 Minuten einkochen, würzen.|Pasta unterheben, mit Petersilie servieren.","pasta,vegetarisch"
rinderbraten-mit-rotkohl-und-knodel,Rinderbraten mit Rotkohl und Knödel,Sonntagsklassiker. TM-Hinweis: Rotkohl im Mixtopf garen; Knödel separat; Bratensoße im Mixtopf ziehen.,4 Portionen,PT3H,"1,2 kg Rinderbraten|2 Zwiebeln|2 Möhren|1 Stück Sellerie|2 EL Tomatenmark|500 ml Rinderfond|200 ml Rotwein (optional)|2 EL Öl|Salz, Pfeffer, Lorbeer|Rotkohl (Fertig oder 1 Kopf + Apfel)|Kartoffel- oder Semmelknödel (Fertig oder Teig)","Braten salzen/pfeffern, in Öl scharf anbraten; herausnehmen.|Zwiebeln, Möhren, Sellerie anrösten, Tomatenmark zugeben, mit Fond/Rotwein ablöschen.|Braten zurück, zugedeckt 2–2,5 h schmoren.|Rotkohl separat garen; Knödel kochen.|Bratensoße passieren und abschmecken, alles servieren.","festlich,klassiker"
pilmeni-pierogi-rindfleisch-pfanne,Pilmeni-Pierogi-Rindfleisch-Pfanne,"Pfanne mit russischen/osteuropäischen Teigtaschen (Pilmeni/Pierogi) und Rindfleisch-Zwiebel-Mix. TM-Hinweis: Zwiebeln 5 Sek./Stufe 5, Pfanne zum Braten.",4 Portionen,PT25M,600 g Pelmeni oder Pierogi (TK)|300 g Rindfleischstreifen|2 Zwiebeln|2 EL Butter oder Öl|200 g Schmand|Salz|Pfeffer|Dill,"Pelmeni/Pierogi nach Packung garen.|Zwiebeln in Butter/Öl braten, Rindfleisch zugeben, kurz scharf anbraten.|Pelmeni/Pierogi untermischen, mit Schmand, Salz, Pfeffer und Dill abschmecken.","pfannengericht,komfort"
knodel-mit-schwammerlsosse,Knödel mit Schwammerlsoße,Semmelknödel mit cremiger Pilzrahmsoße. TM-Hinweis: Soße im Mixtopf; Knödel im Varoma dämpfen.,4 Portionen,PT30M,8 Semmelknödel (frisch oder Fertigprodukt)|400 g Pilze gemischt|1 Zwiebel|200 ml Sahne|200 ml Gemüsebrühe|2 EL Butter|Salz|Pfeffer|Petersilie,"Knödel nach Anleitung zubereiten.|Zwiebel anschwitzen, Pilze zugeben und braten.|Mit Brühe und Sahne aufgießen, 5–8 Minuten köcheln; würzen.|Mit Petersilie bestreuen und zu Knödeln servieren.","vegetarisch,soße"
selbstgemachte-schnitzel,Selbstgemachte Schnitzel,"Paniertes Schweine- oder Kalbsschnitzel, goldgelb ausgebacken. TM-Hinweis: Panade-Zutaten im Mixtopf zerkleinern/mischen.",4 Portionen,PT25M,"4 Schweine- oder Kalbsschnitzel (je 150–180 g)|Salz, Pfeffer|Mehl|2 Eier|Semmelbrösel|Butterschmalz zum Ausbacken|Zitronenspalten","Schnitzel flach klopfen, salzen, pfeffern.|In Mehl wenden, durch verquirlte Eier ziehen und in Semmelbröseln wenden.|In heißem Butterschmalz schwimmend goldbraun ausbacken.|Mit Zitrone servieren.","klassiker,hauptgericht"
gefullte-zucchini,Gefüllte Zucchini,Mit Hackreis-Füllung und Käse überbacken. TM-Hinweis: Füllung im Mixtopf zerkleinern/mischen.,4 Portionen,PT45M,"4 kleine Zucchini|300 g Rinderhack|1 Beutel Reis (oder 120 g Rohreis)|1 Zwiebel|1 Knoblauchzehe|1 Dose Tomaten (400 g)|100 g geriebener Käse|2 EL Öl|Salz, Pfeffer, Oregano","Zucchini halbieren, aushöhlen.|Reis garen.|Zwiebel/Knoblauch anschwitzen, Hack anbraten, Tomaten und Gewürze zugeben, Reis untermischen.|Zucchini füllen, mit Käse bestreuen und bei 180°C 20–25 Minuten backen.","ofen,gemaeuse"
moussaka,Moussaka,"Griechischer Auflauf mit Auberginen, Hack und Béchamel. TM-Hinweis: Bolo & Béchamel im Mixtopf, Auberginen im Ofen vorbacken.",4 Portionen,PT1H15M,"2 Auberginen|500 g Hack (Rind/Lamm)|1 Zwiebel|2 Knoblauchzehen|1 Dose Tomaten (400 g)|2 EL Tomatenmark|Zimt/Allspice (Prise)|Olivenöl, Salz, Pfeffer|Béchamel: 60 g Butter, 60 g Mehl, 600 ml Milch, Muskat|Käse zum Überbacken","Auberginen in Scheiben schneiden, salzen, 20 Min ziehen lassen, trocken tupfen und im Ofen vorbacken.|Hack mit Zwiebel/Knoblauch krümelig braten, Tomatenmark rösten, Tomaten und Gewürze zugeben, köcheln.|Béchamel kochen.|Schichten: Auberginen, Hack, Béchamel; bei 180–200°C ca. 35 Minuten backen.","auflauf,griechisch"
kreative-burger,Kreative Burger,"Selbstgemachte Burger-Patties mit variablen Toppings (Cheddar, Bacon, Avocado, etc.). TM-Hinweis: Pattie-Masse kurz mischen; Saucen im Mixtopf.",4 Portionen,PT25M,"600 g Rinderhack|4 Burgerbrötchen|Salz, Pfeffer|4 Scheiben Käse (z. B. Cheddar)|Toppings nach Wahl (Tomate, Salat, Gurke, Zwiebel, Bacon, Avocado)|Saucen nach Wahl","Hack salzen/pfeffern, 4 Patties formen.|Patties in Pfanne/Grill braten, Käse zum Schmelzen auflegen.|Brötchen kurz rösten, mit Toppings und Saucen nach Wunsch belegen.","fingerfood,grill"
bruschetta,Bruschetta,Geröstetes Brot mit Tomaten-Knoblauch-Belag. TM-Hinweis: Tomatenwürfel & Marinade 3–4 Sek./Stufe 4 mischen.,4 Portionen,PT15M,"1 Baguette oder Ciabatta|5 Tomaten|2 Knoblauchzehen|2 EL Olivenöl|Basilikum|Salz, Pfeffer","Brot in Scheiben schneiden, im Ofen rösten.|Tomaten würfeln, mit Knoblauch, Öl, Basilikum, Salz und Pfeffer mischen.|Auf das warme Brot geben und sofort servieren.","vorspeise,vegetarisch"
selbstgemachte-pizza,Selbstgemachte Pizza,Einfacher Pizzateig mit Tomatensauce und Wunschbelag. TM-Hinweis: Teig 2 Min./Knetstufe; Sauce 5 Sek./Stufe 5.,4 Portionen,PT1H30M,"Teig: 500 g Mehl, 300 ml Wasser, 1 Päckchen Trockenhefe, 1 TL Salz, 1 EL Olivenöl|Sauce: 1 Dose Tomaten (400 g), 1 Knoblauchzehe, Salz, Oregano|Belag nach Wahl|Käse, gerieben","Teig kneten und 60 Minuten gehen lassen.|Sauce aus Tomaten, Knoblauch, Salz, Oregano rühren.|Teig ausrollen, belegen, bei 250°C (oder Maximum) 10–12 Minuten backen.","pizza,familie"
sommerrollen,Sommerrollen,"Frische Reispapierrollen mit Gemüse, Kräutern und ggf. Garnelen/Tofu. TM-Hinweis: Erdnusssauce 5 Sek./Stufe 5 mischen.",4 Portionen,PT30M,"12 Reispapierblätter|200 g Reisnudeln (dünn)|1 Möhre|1 Gurke|1 Paprika|Kräuter (Minze, Koriander)|200 g Garnelen oder Tofu|Dip: 2 EL Erdnussbutter, 1 EL Sojasoße, 1 TL Honig, Limettensaft, Wasser","Reisnudeln garen und kalt abschrecken.|Gemüse in feine Streifen schneiden; Garnelen kurz anbraten (oder Tofu).|Reispapier in warmem Wasser weich machen, füllen und straff aufrollen.|Mit Erdnuss-Dip servieren.","fingerfood,leicht"
selbstgemachter-flammkuchen,Selbstgemachter Flammkuchen,"Knuspriger Teig mit Schmand, Zwiebeln, Speck oder vegetarisch. TM-Hinweis: Teig 2 Min./Knetstufe.",4 Portionen,PT35M,"Teig: 250 g Mehl, 125 ml Wasser, 2 EL Öl, 1/2 TL Salz|Belag: 200 g Schmand, 2 Zwiebeln, 100 g Speckwürfel (optional), Salz, Pfeffer","Teig kneten, dünn ausrollen.|Mit Schmand bestreichen, Zwiebeln in feinen Ringen, Speck darüber.|Bei 250°C 8–10 Minuten knusprig backen.","ofen,elsass"
kohlrouladen,Kohlrouladen,Mit Hack gefüllte Weißkohlblätter in Tomatensoße. TM-Hinweis: Füllung im Mixtopf mischen; Soße im Mixtopf.,4 Portionen,PT1H10M,"8 große Weißkohlblätter|500 g Hackfleisch|1 Zwiebel|1 Ei|2 EL Semmelbrösel|1 TL Senf|Salz, Pfeffer|Sauce: 1 Dose Tomaten (400 g), 1 Zwiebel, 1 EL Tomatenmark, 200 ml Brühe","Kohlblätter in Salzwasser blanchieren.|Füllung aus Hack, Zwiebel, Ei, Bröseln, Senf, Salz, Pfeffer mischen.|Aufrollen, in Topf/Pfanne rundum anbraten.|Tomatensoße anrühren, angießen und 30–40 Minuten schmoren.","klassiker,schmorgericht"
kartoffelgratin,Kartoffelgratin,Cremiges Gratin mit Sahne und Käse. TM-Hinweis: Sahne-Mischung im Mixtopf erhitzen; Kartoffeln hobeln.,4 Portionen,PT1H10M,"1 kg festkochende Kartoffeln|300 ml Sahne|100 ml Milch|1 Knoblauchzehe|Salz, Pfeffer, Muskat|100 g geriebener Käse","Kartoffeln schälen und in dünne Scheiben hobeln.|Sahne, Milch, gepressten Knoblauch und Gewürze verrühren.|Kartoffeln in Auflaufform schichten, Mischung darübergießen, mit Käse bestreuen.|Bei 180–200°C 45–55 Minuten backen.","beilage,ofen"
cevapcici-mit-selbstgemachtem-zaziki,Cevapcici mit selbstgemachtem Zaziki,"Würzige Hackröllchen mit Knoblauch-Joghurt-Dip. TM-Hinweis: Zaziki im Mixtopf rühren, Hackmasse kurz mischen.",4 Portionen,PT35M,"600 g Rinder- oder Lammhack|1 Zwiebel|2 Knoblauchzehen|1 TL Paprika edelsüß|1 TL Kreuzkümmel|Salz, Pfeffer|Öl zum Braten|Zaziki: 300 g Joghurt, 1/2 Gurke gerieben, 1 Knoblauchzehe, Salz, Pfeffer, 1 EL Olivenöl","Hack mit fein gehackter Zwiebel/Knoblauch, Gewürzen mischen; kleine Röllchen formen.|In etwas Öl rundum braten oder grillen.|Zaziki rühren und dazu servieren.","balkan,grill"
